City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
299,Virginia Beach,US,36.8529,-75.978,74.03,87,100,9.46,overcast clouds
300,Oxelosund,SE,58.6706,17.1015,60.89,87,75,12.66,light intensity shower rain
301,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,38.1,98,100,7.92,overcast clouds
302,Talcahuano,CL,-36.7167,-73.1167,55.08,54,0,6.91,clear sky
303,Santa Cruz,BO,-17.8,-63.1667,85.12,49,42,9.22,scattered clouds
304,Strathmore,CA,51.0501,-113.3852,52.36,48,20,11.32,few clouds
305,Saint Anthony,US,45.0205,-93.218,75.25,46,75,17.27,broken clouds
306,Manokwari,ID,-0.8667,134.0833,79.12,76,100,3.4,overcast clouds
307,Axim,GH,4.8699,-2.2405,83.19,77,70,9.06,light rain
308,San Ignacio,BZ,17.1561,-89.0714,93.34,38,20,6.91,few clouds
309,Eureka,US,40.8021,-124.1637,70.2,74,90,4.99,overcast clouds
310,Codrington,AU,-38.2667,141.9667,54.0,94,0,11.05,clear sky
311,Nantucket,US,41.2835,-70.0995,78.91,78,100,10.36,overcast clouds
312,Tautira,PF,-17.7333,-149.15,79.88,68,3,12.97,clear sky
313,Coahuayana,MX,18.7333,-103.6833,91.4,38,100,6.13,overcast clouds
314,Sacramento,US,38.4666,-121.3177,79.93,48,0,8.05,clear sky
315,Adrar,MR,20.5022,-10.0711,103.41,7,29,13.2,scattered clouds
316,Lardos,GR,36.0942,28.0157,69.62,64,0,8.72,clear sky
317,Evensk,RU,61.95,159.2333,33.15,99,100,1.43,overcast clouds
318,Rawson,AR,-43.3002,-65.1023,55.18,43,9,19.15,clear sky
319,Marovoay,MG,-16.1,46.6333,77.22,54,0,4.94,clear sky
320,Dutlwe,BW,-23.9833,23.9,71.91,27,18,5.95,few clouds
321,Bulgan,MN,48.8125,103.5347,47.59,27,8,3.24,clear sky
322,Kodinsk,RU,58.6881,99.1844,53.24,40,6,3.24,clear sky
323,Rudbar,AF,30.15,62.6,75.0,28,0,19.53,clear sky
